	sequences per sample	iteration	S1	S2	S3	S4	S5	S6
alpha_rarefaction_1204_1.txt	1204	1	4.2448	3.55387	4.45146	3.98712	4.07296	3.93674
alpha_rarefaction_1204_2.txt	1204	2	3.89549	3.41473	4.44602	4.01322	3.89862	3.99571
alpha_rarefaction_1204_3.txt	1204	3	3.9786	3.63338	4.39715	3.94198	4.07352	3.9119
alpha_rarefaction_1204_4.txt	1204	4	4.10509	3.68227	4.49653	3.95553	4.00401	3.91556
alpha_rarefaction_1204_5.txt	1204	5	4.32246	3.45719	4.37543	4.14665	4.02687	3.95641
alpha_rarefaction_1204_6.txt	1204	6	3.90881	3.80766	4.09396	4.10842	3.99065	3.88165
alpha_rarefaction_1204_7.txt	1204	7	4.14614	3.61959	4.3802	4.05109	3.9358	3.8933
alpha_rarefaction_1204_8.txt	1204	8	4.15999	3.74166	4.30858	4.02477	4.05078	3.9435
alpha_rarefaction_1204_9.txt	1204	9	3.83287	3.64399	4.21474	3.89939	3.93139	4.03852
alpha_rarefaction_1403_0.txt	1403	0	4.15949	3.65312	4.10469	3.9755	3.89774	3.74322
alpha_rarefaction_1403_1.txt	1403	1	3.9409	4.00955	3.92658	4.01558	4.04092	4.06154
alpha_rarefaction_1403_2.txt	1403	2	4.01415	3.62497	4.39231	4.08024	4.00724	4.08673
alpha_rarefaction_1403_3.txt	1403	3	3.83388	3.81903	4.35315	4.06077	3.98382	3.99349
alpha_rarefaction_1403_4.txt	1403	4	4.28275	3.59059	4.26714	3.99038	3.86003	3.8997
alpha_rarefaction_1403_5.txt	1403	5	4.11595	3.97793	4.44901	3.98532	4.07472	3.92825
alpha_rarefaction_1403_6.txt	1403	6	4.14436	3.96534	4.25843	4.00469	4.03546	3.96944
alpha_rarefaction_1403_7.txt	1403	7	3.828	3.92632	4.3024	4.10603	4.11701	3.95597
alpha_rarefaction_1403_8.txt	1403	8	4.18755	3.76115	4.33255	4.08717	4.07352	4.03728
alpha_rarefaction_1403_9.txt	1403	9	4.41586	3.91082	4.44143	4.12458	3.89715	3.66582
alpha_rarefaction_1602_0.txt	1602	0	4.2789	3.58249	4.51331	4.15381	4.07472	3.89435
alpha_rarefaction_1602_1.txt	1602	1	4.31081	4.06465	4.51044	3.95434	3.84747	4.04885
alpha_rarefaction_1602_2.txt	1602	2	3.93084	3.87577	4.46015	4.17143	4.07983	4.00164
alpha_rarefaction_1602_3.txt	1602	3	4.53339	3.65703	4.27681	4.15381	3.91093	3.98103
alpha_rarefaction_1602_4.txt	1602	4	4.49745	3.94472	4.32944	4.12788	3.97929	3.89764
alpha_rarefaction_1602_5.txt	1602	5	4.65668	4.00773	4.60084	4.03635	4.02687	3.90381
alpha_rarefaction_1602_6.txt	1602	6	4.54115	3.86691	4.54289	3.95186	4.09427	4.05183
alpha_rarefaction_1602_7.txt	1602	7	4.09961	3.88487	4.35233	4.10313	3.91989	3.92053
alpha_rarefaction_1602_8.txt	1602	8	4.56053	3.37182	4.41975	3.9271	4.11701	4.08428
alpha_rarefaction_1602_9.txt	1602	9	4.7168	4.05618	4.51425	4.08403	3.94899	3.96024
alpha_rarefaction_1801_0.txt	1801	0	4.63961	4.11501	4.61506	4.10514	4.10382	4.03955
alpha_rarefaction_1801_1.txt	1801	1	4.54905	3.88887	4.63235	4.10057	3.89774	3.98406
alpha_rarefaction_1801_2.txt	1801	2	4.3644	3.74071	4.44254	4.09657	4.07983	3.96213
alpha_rarefaction_1801_3.txt	1801	3	4.43316	4.11561	4.53322	4.12105	4.05945	4.02327
alpha_rarefaction_1801_4.txt	1801	4	4.16906	4.03367	4.51927	4.1051	4.06397	4.07568
alpha_rarefaction_1801_5.txt	1801	5	4.47281	3.79841	4.16916	4.14158	4.07352	4.02987
alpha_rarefaction_1801_6.txt	1801	6	4.28789	3.74349	4.4917	4.11081	4.0206	4.06347
alpha_rarefaction_1801_7.txt	1801	7	4.29175	3.79323	4.53293	4.11954	4.08671	3.96192
