	sequences per sample	iteration	S1	S2	S3	S4	S5	S6
alpha_rarefaction_1204_4.txt	1204	4	61.8571428571	46.6666666667	55.4285714286	51.0	48.4285714286	44.875
alpha_rarefaction_1204_5.txt	1204	5	74.1428571429	56.5	59.6666666667	57.6	51.75	53.6
alpha_rarefaction_1204_6.txt	1204	6	55.1111111111	54.2	51.5	56.6	47.0	50.6666666667
alpha_rarefaction_1204_7.txt	1204	7	74.0	52.0	56.0	57.2	49.5	50.3333333333
alpha_rarefaction_1204_8.txt	1204	8	59.8571428571	64.0	55.4285714286	51.1428571429	52.0	50.0
alpha_rarefaction_1204_9.txt	1204	9	59.3333333333	52.6	57.0	48.6666666667	53.6666666667	58.4285714286
alpha_rarefaction_1403_0.txt	1403	0	66.2	51.2	56.0	55.25	53.0	47.75
alpha_rarefaction_1403_1.txt	1403	1	56.1111111111	56.0	53.75	50.0	51.5	51.0
alpha_rarefaction_1403_2.txt	1403	2	55.75	49.5	55.5	63.0	51.3333333333	52.0
alpha_rarefaction_1403_3.txt	1403	3	66.75	54.0	54.5	53.5	51.3333333333	47.0
alpha_rarefaction_1403_4.txt	1403	4	70.6	55.2	58.5	48.2	48.5	46.2
alpha_rarefaction_1403_5.txt	1403	5	64.4285714286	55.6	68.0	54.2	50.5	45.375
alpha_rarefaction_1403_6.txt	1403	6	58.0	53.6	68.0	55.0	49.1428571429	55.3333333333
alpha_rarefaction_1403_7.txt	1403	7	58.2	66.5	73.0	53.875	59.0	54.0
alpha_rarefaction_1403_8.txt	1403	8	88.0	59.0	67.0	64.0	51.6666666667	62.2
alpha_rarefaction_1403_9.txt	1403	9	74.5	56.0	64.5	57.25	49.2	45.5
alpha_rarefaction_1602_0.txt	1602	0	59.1428571429	49.0	61.6666666667	60.0	50.2	45.2
alpha_rarefaction_1602_1.txt	1602	1	61.5	52.0	62.0	52.5	50.0	50.3333333333
alpha_rarefaction_1602_2.txt	1602	2	55.0	60.0	55.0	57.0	52.2	56.0
alpha_rarefaction_1602_3.txt	1602	3	89.0	52.2	57.0	56.0	50.0	47.2
alpha_rarefaction_1602_4.txt	1602	4	66.75	62.25	63.5	61.0	55.6666666667	46.25
alpha_rarefaction_1602_5.txt	1602	5	60.6	52.625	74.0	51.2	50.5	51.25
alpha_rarefaction_1602_6.txt	1602	6	63.1111111111	85.0	83.0	50.0	53.5	51.625
alpha_rarefaction_1602_7.txt	1602	7	57.8	96.5	60.25	53.4285714286	49.6	57.5
alpha_rarefaction_1602_8.txt	1602	8	73.1666666667	49.5	68.0	69.0	54.0	55.0
alpha_rarefaction_1602_9.txt	1602	9	71.0	56.0	68.0	57.0	53.75	52.25
alpha_rarefaction_1801_0.txt	1801	0	63.5	51.5	78.5	59.0	55.2	58.2
alpha_rarefaction_1801_1.txt	1801	1	61.2727272727	60.25	75.0	68.0	48.0	51.0
alpha_rarefaction_1801_2.txt	1801	2	62.875	47.75	60.0	53.6666666667	53.0	52.2
alpha_rarefaction_1801_3.txt	1801	3	66.3333333333	56.0	61.25	55.2	51.2	48.2
alpha_rarefaction_1801_4.txt	1801	4	61.1428571429	53.6666666667	57.0	52.3	50.375	57.0
alpha_rarefaction_1801_5.txt	1801	5	60.1538461538	72.5	56.75	59.0	50.5	52.0
alpha_rarefaction_1801_6.txt	1801	6	65.3333333333	54.6	61.0	55.0	49.6	51.1428571429
alpha_rarefaction_1801_7.txt	1801	7	59.5	67.0	69.0	57.0	51.75	47.5
alpha_rarefaction_1801_8.txt	1801	8	71.0	50.5	55.6666666667	54.1428571429	50.0	49.875
alpha_rarefaction_1801_9.txt	1801	9	63.5	58.3333333333	63.0	52.6666666667	49.25	54.25
alpha_rarefaction_2000_0.txt	2000	0	69.4285714286	52.0	62.25	59.6	50.4285714286	60.3333333333
alpha_rarefaction_2000_1.txt	2000	1	76.1666666667	49.6666666667	60.0	62.0	50.375	50.6666666667
alpha_rarefaction_2000_2.txt	2000	2	54.25	50.6666666667	63.6	54.25	54.0	53.2
alpha_rarefaction_2000_3.txt	2000	3	72.6666666667	52.1428571429	59.2	60.0	52.4285714286	50.1111111111
alpha_rarefaction_2000_4.txt	2000	4	62.1428571429	51.625	59.0	59.0	53.0	47.6666666667
alpha_rarefaction_2000_5.txt	2000	5	60.6	55.6	61.5	55.1428571429	51.5	50.1111111111
alpha_rarefaction_2000_6.txt	2000	6	62.0	57.2	70.0	51.125	49.0	58.2
alpha_rarefaction_2000_7.txt	2000	7	58.3333333333	52.5	61.25	57.6	52.75	51.75
alpha_rarefaction_2000_8.txt	2000	8	69.4285714286	64.75	61.25	53.75	54.3333333333	51.75
alpha_rarefaction_2000_9.txt	2000	9	67.8571428571	52.1428571429	59.0	55.0	55.0	55.6
