	sequences per sample	iteration	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	s1r1	s1	s2r1	s2	s3r1	s3	s4r1	s4	s5r1	s5	s6r1	s6	s7r1	s7	s8r1	s8
alpha_rarefaction_2009_7.txt	2009	7	12.73193	15.06457	15.26611	14.63425	17.40224	14.14895	15.70047	14.01401	15.88902	14.55319	14.25855	13.15071	15.50264	15.57986	14.96802	15.39786	14.00865	12.24387	16.12926	15.47747	15.56721	15.03357	15.604	13.76705	14.77066	14.37048	14.65339	13.46337	14.73767	15.50218	15.14169	13.98693
alpha_rarefaction_2009_8.txt	2009	8	13.26557	15.18801	16.7395	14.86269	16.50147	15.53998	15.46811	14.99515	15.81204	15.08224	14.42406	12.94164	15.06751	16.27025	14.35782	15.23842	13.90425	12.40954	14.83318	16.05287	15.06654	15.90303	15.18841	14.32337	14.16056	14.06615	14.35349	13.06793	14.61115	15.23029	14.82086	14.49249
alpha_rarefaction_2009_9.txt	2009	9	12.95773	15.54366	16.34548	14.62915	16.1866	13.44208	15.59864	15.20587	16.00059	14.97851	14.71444	14.08344	15.39533	15.56297	14.89768	14.92621	13.63105	11.85408	14.83402	15.81035	14.8861	16.12295	15.76809	13.94159	14.99443	14.1337	15.44362	13.79487	14.94728	16.32367	14.67162	14.49528
alpha_rarefaction_4008_0.txt	4008	0	14.87636	17.34911	17.69795	17.46345	18.67341	16.25431	17.90155	17.19147	17.45119	17.49327	16.2345	16.54146	16.66459	17.60471	16.90749	17.57759	16.86669	13.66808	17.5841	18.20799	17.16141	17.27578	18.03534	16.12192	17.28864	16.79317	16.94684	16.86378	16.98296	17.57949	16.18618	15.59303
alpha_rarefaction_4008_1.txt	4008	1	15.52095	17.81928	18.26958	16.70202	18.42186	17.05512	18.0255	17.21295	18.4221	17.74968	16.4029	16.18503	16.72157	17.87338	16.96287	16.47141	16.17362	14.83318	17.01795	17.9564	16.7987	17.6775	18.0897	15.65492	17.26577	16.37098	15.70789	16.22376	16.64971	17.30724	16.45193	15.68891
alpha_rarefaction_4008_2.txt	4008	2	14.96544	17.50589	17.12722	17.39736	19.13352	16.68204	17.3166	16.19428	17.5867	17.59871	16.36469	16.62507	17.28788	18.05065	16.83917	16.84757	16.06028	13.57198	17.15196	17.94698	17.63509	18.12935	17.80486	16.42679	16.9663	16.68648	16.35514	15.62572	16.37607	17.25142	15.86632	16.514
alpha_rarefaction_4008_3.txt	4008	3	15.29218	17.53471	17.4924	16.80196	18.64098	16.40026	17.74927	16.54671	17.83581	16.72442	17.30326	16.38059	17.14527	17.49845	16.85789	16.64783	15.73525	13.12784	17.02248	18.22555	17.09985	17.67421	17.25879	15.83775	16.88923	16.02488	16.76032	15.48809	16.81984	17.30818	16.32337	16.29587
alpha_rarefaction_4008_4.txt	4008	4	15.31704	18.10909	18.21319	16.83507	18.9515	16.30029	18.10436	16.46688	17.49272	17.32417	16.78678	15.73404	17.39509	17.83129	16.32507	17.70048	16.20832	13.51452	18.18722	18.11539	16.70351	17.15548	18.10911	16.25057	16.94398	16.97218	16.47932	15.13035	16.00325	17.14498	15.51453	16.21001
alpha_rarefaction_4008_5.txt	4008	5	15.17423	17.34911	17.52231	16.8849	17.86062	16.4086	18.18109	16.37877	18.04721	17.22331	16.76413	16.79468	17.73009	18.41208	17.05131	17.3921	16.8063	13.8715	16.45425	18.02028	17.66396	18.02249	17.93213	15.25062	16.75587	16.43916	16.65622	16.16635	16.50952	17.82056	16.02507	15.76262
alpha_rarefaction_4008_6.txt	4008	6	15.25	16.96257	18.17025	16.02701	18.57872	16.87147	18.40032	16.57817	18.76958	17.37425	16.29675	15.96509	16.92227	18.41489	16.35545	16.21027	15.16757	14.16728	17.01118	18.53143	17.50125	17.46309	17.69941	15.71713	17.2648	16.6781	16.49752	15.76841	16.47952	17.22839	16.05214	15.6217
