	sequences per sample	iteration	S1	S2	S3	S4	S5	S6
alpha_rarefaction_1204_4.txt	1204	4	66.5	46.0	63.3333333333	53.5	59.0	50.6666666667
alpha_rarefaction_1204_5.txt	1204	5	61.25	52.0	60.25	55.6666666667	48.0	50.1428571429
alpha_rarefaction_1204_6.txt	1204	6	60.25	47.5	83.5	57.0	56.5	45.2
alpha_rarefaction_1204_7.txt	1204	7	67.1111111111	49.75	78.5	53.2	56.0	46.6666666667
alpha_rarefaction_1204_8.txt	1204	8	56.0	65.3333333333	67.0	66.0	53.2	56.5
alpha_rarefaction_1204_9.txt	1204	9	64.0	51.0	55.0	52.0	50.1428571429	50.25
alpha_rarefaction_1403_0.txt	1403	0	66.2	49.25	59.5	60.2	58.3333333333	54.1428571429
alpha_rarefaction_1403_1.txt	1403	1	67.1	54.5	60.0	56.6666666667	51.0	45.0
alpha_rarefaction_1403_2.txt	1403	2	80.25	59.25	56.0	60.0	51.4285714286	52.25
alpha_rarefaction_1403_3.txt	1403	3	61.5	49.0	58.2	61.2	49.6	52.6
alpha_rarefaction_1403_4.txt	1403	4	63.3333333333	55.2	57.0	53.1428571429	48.125	50.5
alpha_rarefaction_1403_5.txt	1403	5	61.5	71.0	65.0	58.0	51.5	47.0
alpha_rarefaction_1403_6.txt	1403	6	65.1428571429	51.75	67.0	61.0	52.1428571429	48.0
alpha_rarefaction_1403_7.txt	1403	7	60.6	52.0	58.75	52.1111111111	52.0	50.5
alpha_rarefaction_1403_8.txt	1403	8	62.0	61.0	90.0	58.0	48.5	47.4285714286
alpha_rarefaction_1403_9.txt	1403	9	56.5	47.0	56.6666666667	56.6	51.2	51.5
alpha_rarefaction_1602_0.txt	1602	0	61.0	72.5	72.0	59.0	54.0	52.2
alpha_rarefaction_1602_1.txt	1602	1	61.0	53.6666666667	61.2	57.0	49.75	51.0
alpha_rarefaction_1602_2.txt	1602	2	73.5	56.0	57.5	68.0	55.0	49.5
alpha_rarefaction_1602_3.txt	1602	3	66.0	53.2	58.0	51.2	49.6	49.1428571429
