# Constructed from biom file
#OTU ID	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	s1	s1r1	s2	s2r1	s3	s3r1	s4	s4r1	s5	s5r1	s6	s6r1	s7	s7r1	s8	s8r1
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__	0.00267155178994	0.0166742551961	0.0427526187825	0.0456844553839	0.0507107999151	0.0508370487736	0.0433400876327	0.0453376937535	0.0362588245123	0.0504584040747	0.0474253542001	0.0581437423674	0.0150054224588	0.0432477614675	0.0497436615471	0.0513695127747	0.0251781472684	0.0474473532947	0.0419900929425	0.0492924304302	0.0414450026556	0.0402856477529	0.0570239862189	0.0611631733314	0.0588838145924	0.0485922314928	0.0583390883978	0.0419108052094	0.0388449639051	0.0629126399388	0.0532877336981	0.0520222901312
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	0.00115767244231	0.00429469746379	0.0041923242973	0.0134429688134	0.00948440483768	0.00534286451233	0.00738643251762	0.00722335072444	0.00428171602824	0.00398981324278	0.0148848598101	0.0152313537473	0.00336521081863	0.0100247326356	0.0118260345088	0.00568499702214	0.00957753647777	0.0132727177719	0.0199992339904	0.0207047202963	0.0154199789292	0.0117208724676	0.0143271323433	0.0141641032978	0.0118756517674	0.0104059248148	0.0276156767956	0.019778420285	0.00650156186946	0.00545402353842	0.020455996352	0.0204925399964
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.00227717985904	0.00808486026851	0.0109182212729	0.0283465418842	0.0233184807978	0.0157706621467	0.00984569023744	0.0105020945189	0.0100394057117	0.00738539898132	0.0412233292792	0.0250011307612	0.00382529823524	0.0165972015481	0.0273840553174	0.0191244502999	0.0062351543943	0.0138736479072	0.0322553876009	0.0289042960712	0.018676371995	0.0137778467748	0.0123814723955	0.00977656961633	0.00585242187781	0.00890597168838	0.0486878453039	0.0350280172965	0.0183089960692	0.0141613242752	0.0284632922937	0.0231529750135
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	0.00156476604839	0.00509456948427	0.00536253948056	0.0176083957697	0.0128050074263	0.00700099487822	0.0147901837516	0.0129042589955	0.00555578762689	0.00387096774194	0.00866672573357	0.0146772807454	0.00636235170397	0.0128071541439	0.00889106692803	0.0087952017422	0.00773668137089	0.0189423629618	0.0151797569196	0.0226358945136	0.0141661805296	0.0140107117907	0.016049771981	0.0145694732575	0.00605918947103	0.00515608887222	0.0107044198895	0.0105416677328	0.00810826968778	0.00717634676108	0.00978568171455	0.0141290670502
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	0.10032313055	0.309624306265	0.352552886909	0.270374076979	0.293157224698	0.429566306791	0.392476749623	0.391097662736	0.365484495314	0.429134125637	0.341602699894	0.299617802705	0.237069900424	0.342380974191	0.315323223402	0.450329970462	0.637750254496	0.436954590584	0.420086048412	0.443156994966	0.387005772697	0.395870527051	0.547791714411	0.510503851015	0.533091804811	0.517421330583	0.482777969613	0.474733259985	0.501711330653	0.539374222562	0.439069767442	0.448355204027
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]	0.000776022186602	0.00552526980299	0.0331750323797	0.0391387844527	0.0165393592192	0.0460468943832	0.0230771895187	0.0293822644404	0.037769608867	0.0173344651952	0.0366483290778	0.0393617983627	0.00638864241349	0.0238566881169	0.0472179738492	0.0506536242608	0.0188920936546	0.0382766368814	0.0375025533653	0.0397315351252	0.021070778661	0.0207249864162	0.0412203056147	0.0524834871355	0.0388093782588	0.0404987344145	0.0648998618785	0.0502008545915	0.0489634866307	0.0498516888336	0.0540264477884	0.0565881718497
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	0.138373661044	0.098741124497	0.21583085278	0.31581509832	0.0775832802886	0.246950882494	0.108380526835	0.210775182691	0.194243702744	0.153701188455	0.200365677833	0.246720792437	0.141733215025	0.111726246365	0.142235529802	0.159986043182	0.042653545979	0.0817526258034	0.0629021550403	0.0589799601102	0.0325552237247	0.0489792750136	0.037328985719	0.0246560316665	0.0262504944442	0.0516546357926	0.0761826657459	0.0822096563723	0.0686325795507	0.0581762510765	0.0492384860921	0.0523818083768
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	0.125601099153	0.155187477696	0.167488468268	0.0798734142977	0.232113303628	0.0829679305305	0.110077761036	0.0596916800823	0.169959758831	0.1559762309	0.0743276441165	0.0600094983943	0.138933254461	0.15214006	0.103795532387	0.119270635938	0.02611978283	0.0624967340754	0.119146409968	0.111184981163	0.153764442626	0.136031980129	0.0390362446456	0.091565920309	0.113524398576	0.121183713009	0.0489986187845	0.08123736663	0.163226568222	0.130418141805	0.0910442316461	0.0889807657739
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	0.017861231967	0.0153944599633	0.00841873253198	0.0223688837197	0.00480585614258	0.0100961715612	0.0189899724632	0.0191667439293	0.00721277691911	0.010662139219	0.0098910215621	0.0422113166584	0.0281704952512	0.00405912931962	0.00581608254529	0.0103653437769	0.00488632507635	0.0167215342008	0.00959427024819	0.0127267546776	0.00292552959922	0.00333773189475	0.0100666753824	0.00515058301738	0.00345211981733	0.00406237305084	0.00507596685083	0.00565463244889	0.00289954713259	0.00243995789877	0.00420428636571	0.00391874887651
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__	0.0105335470575	0.0224333337435	0.0132586516394	0.00843904682048	0.0338425631233	0.00556394856111	0.0160111532533	0.00938951307705	0.0137154155701	0.0104244482173	0.00511465691526	0.00549549957031	0.0209471228105	0.0287287883299	0.00527217112207	0.00814548779681	0.00494570749915	0.0110257616136	0.0139732917986	0.0157976382689	0.0467301111875	0.0298067220368	0.00807487330139	0.0138541145051	0.0115789852206	0.0115308896597	0.00444578729282	0.00834122252642	0.0153870297577	0.0124868433643	0.00536251709986	0.0045658817185
